City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,selfoss,63.9331,-20.9971,9.86,70,41,8.68,IS,1722667269
83,malango,-2.9627,119.9001,26.9,59,71,2.93,ID,1722667271
84,praia da vitoria,38.7333,-27.0667,21.14,88,20,1.2,PT,1722667272
85,quellon,-43.1167,-73.6167,7.67,87,100,5.05,CL,1722667273
86,tan-tan,28.438,-11.1032,19.97,100,75,3.6,MA,1722667275
87,avarua,-21.2078,-159.775,17.03,88,0,1.54,CK,1722667276
88,polyarnyy,69.1989,33.4478,12.38,77,49,5.57,RU,1722667278
89,puerto natales,-51.7236,-72.4875,1.6,99,100,1.18,CL,1722667279
90,taitung city,22.7583,121.1444,33.15,70,20,3.09,TW,1722667281
91,beni,0.5,29.4667,24.74,49,100,1.31,CD,1722667282
92,chardara,41.2547,67.9692,33.47,22,0,4.67,KZ,1722667284
93,west island,-12.1568,96.8225,28.99,65,65,5.66,CC,1722667285
94,inirida,3.8653,-67.9239,22.67,97,100,1.09,CO,1722667287
95,jamestown,42.097,-79.2353,19.45,99,75,0.89,US,1722667288
96,wailua homesteads,22.0669,-159.378,25.44,75,75,3.09,US,1722667289
97,buta,2.7858,24.73,24.22,89,97,0.73,CD,1722667291
98,puerto baquerizo moreno,-0.9,-89.6,19.33,77,74,4.35,EC,1722667292
99,meizhou,24.2977,116.1072,36.12,50,39,2.38,CN,1722667294
100,mandeure,47.4492,6.8076,20.5,93,25,2.53,FR,1722667295
101,six-fours-les-plages,43.0938,5.84,27.73,68,0,2.24,FR,1722667296
102,bilibino,68.0546,166.4372,9.59,67,100,0.64,RU,1722667298
103,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,60,75,4.0,RU,1722667299
104,dudinka,69.4058,86.1778,22.43,40,0,3.76,RU,1722667301
105,baikonur,45.6167,63.3167,33.23,17,0,4.86,KZ,1722667304
106,vilyuchinsk,52.9306,158.4028,22.15,77,10,4.86,RU,1722667305
107,hami,42.8,93.45,37.65,10,97,4.21,CN,1722667306
108,kone,-21.0595,164.8658,17.27,72,2,1.88,NC,1722667308
109,panama city beach,30.1766,-85.8055,30.05,88,0,2.06,US,1722667168
110,katsuura,35.1333,140.3,26.9,75,62,3.25,JP,1722667311
111,port alfred,-33.5906,26.891,15.58,66,0,3.74,ZA,1722667312
112,saint-pierre,-21.3393,55.4781,24.2,78,75,7.72,RE,1722667314
113,arua,3.0201,30.9111,22.28,76,100,2.87,UG,1722667315
114,arno,60.1167,18.6333,16.55,86,100,5.33,SE,1722667318
115,ancud,-41.8697,-73.8203,8.1,86,98,7.88,CL,1722667319
116,afaahiti,-17.75,-149.2833,20.93,69,55,5.29,PF,1722667321
117,whitehorse,60.7161,-135.0538,12.43,65,40,2.57,CA,1722667042
118,klyuchi,52.2667,79.1667,29.52,42,100,2.36,RU,1722667323
119,luderitz,-26.6481,15.1594,15.72,47,7,1.49,NA,1722667325
120,badger,64.8,-147.5333,10.93,90,100,2.06,US,1722667326
121,acapulco de juarez,16.8634,-99.8901,25.9,83,100,2.57,MX,1722667120
122,harstad,68.799,16.5293,17.91,82,7,4.02,NO,1722667329
123,amursk,50.2261,136.8994,22.04,57,100,3.46,RU,1722667331
124,arraial do cabo,-22.9661,-42.0278,21.72,80,0,9.21,BR,1722667055
125,nchelenge,-9.3451,28.734,21.44,35,2,1.74,ZM,1722667333
126,udachny,66.4167,112.4,22.43,35,86,3.39,RU,1722667335
127,verkhnyaya sinyachikha,57.976,61.6673,21.62,64,90,2.43,RU,1722667336
128,tazacorte,28.629,-17.9293,21.54,78,0,6.17,ES,1722667337
129,muroto-misakicho,33.2833,134.15,30.17,77,43,3.5,JP,1722667339
130,lamu,-2.2717,40.902,26.1,70,23,6.85,KE,1722667340
